region_code,display_name
5115000000,강원특별자치도 강릉시
5182000000,강원특별자치도 고성군
5117000000,강원특별자치도 동해시
5123000000,강원특별자치도 삼척시
5121000000,강원특별자치도 속초시
5180000000,강원특별자치도 양구군
5183000000,강원특별자치도 양양군
5175000000,강원특별자치도 영월군
5113000000,강원특별자치도 원주시
5181000000,강원특별자치도 인제군
5177000000,강원특별자치도 정선군
5178000000,강원특별자치도 철원군
5111000000,강원특별자치도 춘천시
5119000000,강원특별자치도 태백시
5176000000,강원특별자치도 평창군
5172000000,강원특별자치도 홍천군
5179000000,강원특별자치도 화천군
5173000000,강원특별자치도 횡성군
4182000000,경기도 가평군
4128000000,경기도 고양시
4129000000,경기도 과천시
4121000000,경기도 광명시
4161000000,경기도 광주시
4131000000,경기도 구리시
4141000000,경기도 군포시
4157000000,경기도 김포시
4136000000,경기도 남양주시
4125000000,경기도 동두천시
4119000000,경기도 부천시
4113000000,경기도 성남시
4111000000,경기도 수원시
4139000000,경기도 시흥시
4127000000,경기도 안산시
4155000000,경기도 안성시
4117000000,경기도 안양시
4163000000,경기도 양주시
4183000000,경기도 양평군
4167000000,경기도 여주시
4180000000,경기도 연천군
4137000000,경기도 오산시
4146000000,경기도 용인시
4143000000,경기도 의왕시
4115000000,경기도 의정부시
4150000000,경기도 이천시
4148000000,경기도 파주시
4122000000,경기도 평택시
4165000000,경기도 포천시
4145000000,경기도 하남시
4159000000,경기도 화성시
4831000000,경상남도 거제시
4888000000,경상남도 거창군
4882000000,경상남도 고성군
4825000000,경상남도 김해시
4884000000,경상남도 남해군
4827000000,경상남도 밀양시
4824000000,경상남도 사천시
4886000000,경상남도 산청군
4833000000,경상남도 양산시
4872000000,경상남도 의령군
4817000000,경상남도 진주시
4874000000,경상남도 창녕군
4812000000,경상남도 창원시
4822000000,경상남도 통영시
4885000000,경상남도 하동군
4873000000,경상남도 함안군
4887000000,경상남도 함양군
4889000000,경상남도 합천군
4729000000,경상북도 경산시
4713000000,경상북도 경주시
4783000000,경상북도 고령군
4719000000,경상북도 구미시
4715000000,경상북도 김천시
4728000000,경상북도 문경시
4792000000,경상북도 봉화군
4725000000,경상북도 상주시
4784000000,경상북도 성주군
4717000000,경상북도 안동시
4777000000,경상북도 영덕군
4776000000,경상북도 영양군
4721000000,경상북도 영주시
4723000000,경상북도 영천시
4790000000,경상북도 예천군
